Old path,Old title,Current audience,Current purpose,Problem,New path,Action,Canonical status,Record type,References updated,Validation status,Notes
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-finale-mechanism-v1.svg","lanternwake-finale-mechanism-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-finale-mechanism-v1.svg","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-invitation-seal-v1.rev","lanternwake-invitation-seal-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-invitation-seal-v1.rev","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-invitation-seal-v1.svg","lanternwake-invitation-seal-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-invitation-seal-v1.svg","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-journal-clasp-v1.rev","lanternwake-journal-clasp-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-journal-clasp-v1.rev","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-journal-clasp-v1.svg","lanternwake-journal-clasp-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-journal-clasp-v1.svg","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-voyage-compass-v1.rev","lanternwake-voyage-compass-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-voyage-compass-v1.rev","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Animation_Assets/Rive_Sources/lanternwake-voyage-compass-v1.svg","lanternwake-voyage-compass-v1","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Animation_Assets/Rive_Sources/lanternwake-voyage-compass-v1.svg","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Architecture_Decisions/0001-use-nextjs-app-router.md","0001-use-nextjs-app-router","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Architecture_Decisions/0001-use-nextjs-app-router.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Architecture_Decisions/0002-use-server-sent-events.md","0002-use-server-sent-events","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Architecture_Decisions/0002-use-server-sent-events.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Architecture_Decisions/0003-use-event-driven-story-state.md","0003-use-event-driven-story-state","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Architecture_Decisions/0003-use-event-driven-story-state.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Chronicle_Platform_Codex_Implementation_Specification.pdf","Chronicle_Platform_Codex_Implementation_Specification","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Chronicle_Platform_Codex_Implementation_Specification.pdf","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Chronicle_Studio_Phase_1_Codex_Implementation_Prompt.pdf","Chronicle_Studio_Phase_1_Codex_Implementation_Prompt","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Chronicle_Studio_Phase_1_Codex_Implementation_Prompt.pdf","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Forever_Treasure_Cinematic_Animation_Codex_Prompt.pdf","Forever_Treasure_Cinematic_Animation_Codex_Prompt","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Forever_Treasure_Cinematic_Animation_Codex_Prompt.pdf","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/action-risk-model.md","action-risk-model","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/action-risk-model.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/admin-command-pipeline.md","admin-command-pipeline","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/admin-command-pipeline.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-architecture.md","animation-architecture","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-architecture.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-assets.md","animation-assets","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-assets.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-library-ownership.md","animation-library-ownership","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-library-ownership.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-lottie-assets.md","animation-lottie-assets","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-lottie-assets.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-performance.md","animation-performance","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-performance.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-rive-assets.md","animation-rive-assets","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-rive-assets.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-scenes.md","animation-scenes","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-scenes.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-showcase.md","animation-showcase","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-showcase.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/animation-testing.md","animation-testing","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/animation-testing.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/architecture.md","architecture","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/architecture.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/artifact-system.md","artifact-system","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/artifact-system.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/asset-licenses.md","asset-licenses","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/asset-licenses.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/audit-and-event-history.md","audit-and-event-history","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/audit-and-event-history.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/chronicle-platform.md","chronicle-platform","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/chronicle-platform.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/chronicle-studio.md","chronicle-studio","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/chronicle-studio.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/cinematic-system.md","cinematic-system","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/cinematic-system.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/command-center-information-architecture.md","command-center-information-architecture","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/command-center-information-architecture.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/deployment.md","deployment","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/deployment.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/design-system.md","design-system","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/design-system.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/finale-shell.md","finale-shell","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/finale-shell.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/future-vision-helper.md","future-vision-helper","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/future-vision-helper.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/game-master-controls.md","game-master-controls","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/game-master-controls.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/journal-system.md","journal-system","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/journal-system.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/known-limitations.md","known-limitations","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/known-limitations.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/local-development.md","local-development","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/local-development.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/parallel-development-phase-3.md","parallel-development-phase-3","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/parallel-development-phase-3.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/phase-2-phase-3-integration.md","phase-2-phase-3-integration","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/phase-2-phase-3-integration.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/player-companion-information-architecture.md","player-companion-information-architecture","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/player-companion-information-architecture.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/player-presence-and-sync.md","player-presence-and-sync","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/player-presence-and-sync.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/recovery-and-reversal.md","recovery-and-reversal","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/recovery-and-reversal.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/responsive-behavior.md","responsive-behavior","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/responsive-behavior.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/security.md","security","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/security.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/ships-log.md","ships-log","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/ships-log.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/side-quest-system.md","side-quest-system","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/side-quest-system.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/story-state-machine.md","story-state-machine","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/story-state-machine.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/testing.md","testing","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/testing.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/theatrical-event-system.md","theatrical-event-system","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/theatrical-event-system.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/unseen-content.md","unseen-content","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/unseen-content.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Legacy_Docs/voyage-chart.md","voyage-chart","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Legacy_Docs/voyage-chart.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Archive/Private_Content_Test_Plan.md","Private_Content_Test_Plan","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Archive/Private_Content_Test_Plan.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Appeal_and_Restoration_Policy.md","Community_Harbor_Appeal_and_Restoration_Policy","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Appeal_and_Restoration_Policy.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Backup_and_Recovery.md","Community_Harbor_Backup_and_Recovery","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Backup_and_Recovery.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Deployment_and_Rollout_Runbook.md","Community_Harbor_Deployment_and_Rollout_Runbook","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Deployment_and_Rollout_Runbook.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Keepsake_and_Voyage_Log_Model.md","Community_Harbor_Keepsake_and_Voyage_Log_Model","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Keepsake_and_Voyage_Log_Model.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Moderation_Case_Architecture.md","Community_Harbor_Moderation_Case_Architecture","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Moderation_Case_Architecture.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Moderation_Policy.md","Community_Harbor_Moderation_Policy","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Moderation_Policy.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Observability_and_Alerting.md","Community_Harbor_Observability_and_Alerting","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Observability_and_Alerting.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Phase_3_Test_Plan.md","Community_Harbor_Phase_3_Test_Plan","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Phase_3_Test_Plan.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Phase_4_Test_Plan.md","Community_Harbor_Phase_4_Test_Plan","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Phase_4_Test_Plan.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Production_Provider_Architecture.md","Community_Harbor_Production_Provider_Architecture","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Production_Provider_Architecture.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Rate_Limit_and_Abuse_Model.md","Community_Harbor_Rate_Limit_and_Abuse_Model","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Rate_Limit_and_Abuse_Model.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Search_and_Discovery_Architecture.md","Community_Harbor_Search_and_Discovery_Architecture","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Search_and_Discovery_Architecture.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Social_Interaction_Model.md","Community_Harbor_Social_Interaction_Model","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Social_Interaction_Model.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Community_Harbor_Worker_and_Outbox_Operations.md","Community_Harbor_Worker_and_Outbox_Operations","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Community_Harbor_Worker_and_Outbox_Operations.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Completion_Receipts/Chronicle_Platform_Implementation_Record.md","Chronicle_Platform_Implementation_Record","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Completion_Receipts/Chronicle_Platform_Implementation_Record.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Completion_Receipts/Full_System_Product_Polish_Implementation_Record.md","Full_System_Product_Polish_Implementation_Record","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Completion_Receipts/Full_System_Product_Polish_Implementation_Record.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Completion_Receipts/Ledgerlight_Mainline_Cleanup_Receipt.md","Ledgerlight_Mainline_Cleanup_Receipt","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Completion_Receipts/Ledgerlight_Mainline_Cleanup_Receipt.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Completion_Receipts/Project_Sounding_Line_Phase_1_Completion_Receipt.md","Project_Sounding_Line_Phase_1_Completion_Receipt","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Completion_Receipts/Project_Sounding_Line_Phase_1_Completion_Receipt.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Consolidated_Mainline_Receipt_2026-07-29.md","Consolidated_Mainline_Receipt_2026-07-29","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Consolidated_Mainline_Receipt_2026-07-29.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/FEATURE_CATALOG.md","FEATURE_CATALOG","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/FEATURE_CATALOG.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/FEATURE_CATALOG_SCHEMA.md","FEATURE_CATALOG_SCHEMA","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/FEATURE_CATALOG_SCHEMA.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/Feature_Catalog_Mainline_Reconciliation_Receipt.md","Feature_Catalog_Mainline_Reconciliation_Receipt","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/Feature_Catalog_Mainline_Reconciliation_Receipt.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/README.md","README","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/README.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/captain.json","captain","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/captain.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/harborlight.json","harborlight","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/harborlight.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/lanternwake.json","lanternwake","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/lanternwake.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/one-voyage.json","one-voyage","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/one-voyage.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/platform.json","platform","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/platform.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/player.json","player","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/player.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/sealed-hold.json","sealed-hold","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/sealed-hold.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/security-operations.json","security-operations","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/security-operations.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/sounding-line.json","sounding-line","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/sounding-line.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/studio.json","studio","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/studio.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Features/catalog/wayfarer.json","wayfarer","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Features/catalog/wayfarer.json","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Governing/Phase_1_Cross_Project_Convergence_Design_Record.md","Phase_1_Cross_Project_Convergence_Design_Record","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Governing/Phase_1_Cross_Project_Convergence_Design_Record.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Governing/Project_Phase_2_Mainline_Convergence_Record.md","Project_Phase_2_Mainline_Convergence_Record","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Governing/Project_Phase_2_Mainline_Convergence_Record.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Governing/Voyagewright_Language_Design_Foundation.md","Voyagewright_Language_Design_Foundation","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Governing/Voyagewright_Language_Design_Foundation.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Governing/Voyagewright_Language_Design_Foundation.pdf","Voyagewright_Language_Design_Foundation","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Governing/Voyagewright_Language_Design_Foundation.pdf","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Governing/Voyagewright_User_Facing_Copy_Inventory.csv","Voyagewright_User_Facing_Copy_Inventory","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Governing/Voyagewright_User_Facing_Copy_Inventory.csv","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Governing/phase_b_implementation_roadmap_v1_0.pdf","phase_b_implementation_roadmap_v1_0","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Governing/phase_b_implementation_roadmap_v1_0.pdf","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Governing/vision_waypoint_external_ar_governing_specification_v1_0.pdf","vision_waypoint_external_ar_governing_specification_v1_0","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Governing/vision_waypoint_external_ar_governing_specification_v1_0.pdf","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/INDEX.md","INDEX","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/INDEX.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
"Development_Docs/Migrations/Phase_1_Cross_Project_Migration_Order.md","Phase_1_Cross_Project_Migration_Order","classified","Ledgerlight inventory","mixed or historical placement","Development_Docs/Migrations/Phase_1_Cross_Project_Migration_Order.md","rewrite-current","classified","engineering-record","yes","pending final validation","generated migration inventory"
